Población por comunidades autónomas	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006
ANDA	102418	60536	144299	104305	64982	-79771	793	793	68658	34935	63916	74464	128416	80670	162281	125873
ARAG	4963	292	9634	5442	1478	-18117	-2156	-2156	3615	3060	9844	17761	12576	19494	19443	8444
ASTU	9239	5359	13119	5347	-392	-29485	-3025,5	-3025,5	2480	-7747	-1238	-1358	1410	-1620	2874	261
BALE	27994	19471	36517	13491	9367	-27605	18052	18052	25337	23810	32997	38341	30393	7684	28086	17931
CANA	33810	22071	45548	46697	23398	-24964	11740,5	11740,5	42674	43587	65090	62389	51113	20672	52740	27553
CANT	3702	2493	4911	4391	2764	-14448	-150	-150	1341	2681	6447	4669	7415	5094	7525	5782
CAST	13696	6511	20880	10257	833	-75911	-11946,5	-11946,5	3459	-8944	307	944	7277	6272	16931	12171
CAMA	20635	13435	27834	18527	12475	-18188	1811,5	1811,5	10047	8062	20792	26985	33743	33100	45786	37594
CATA	49591	23557	75624	49923	18271	-136829	28785	28785	59923	54466	99366	145075	197706	109173	181887	139491
VALE	46530	33334	59725	48548	29933	-19445	7056	7056	43033	54255	81879	124100	144177	72419	149145	114459
EXTR	11124	5638	16609	9843	6596	-30294	-412,5	-412,5	4155	-4154	3961	-331	854	1382	8593	2494
GALI	27125	9168	45082	27043	12058	-82398	-9039	-9039	5793	1563	1026	4444	13724	-109	11213	5326
MADR	68706	41578	95833	65433	31260	-159370	34523,5	34523,5	53989	60083	167025	154719	191790	85887	159314	44040
MURC	17693	7785	27600	18665	10326	-12728	8909,5	8909,5	16060	18200	41050	36615	42237	25464	41098	34514
NAVA	4780	2864	6696	3999	3356	-15618	5122,5	5122,5	7190	5748	12506	13365	8582	6524	8738	8402
EUHE	11966	8618	15313	2475	336	-32728	286,5	286,5	1813	-1845	2882	6803	3923	3075	9567	8838
RIOJ	1334	769	1898	1062	1043	-3265	-648,5	-648,5	1534	-1000	6222	11214	5776	6163	7531	5293
CEUT	1581	728	2434	1149	1216	-4346	1660,5	1660,5	1587	1537	453	458	-1221	-277	622	585
MELI	2462	1504	3420	2046	1157	-5151	266	266	-3179	9334	2526	395	-721	-447	-2528	1383
