Población por provincias	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006
01	3628	5702	1553	1259	1983	-1123	1387	1387	1153	749	2296	3067	2500	1545	4052	1969
02	5420	4137	6703	5109	2701	-2317	-206,5	-206,5	2424	2242	4020	4504	4769	2892	5192	3018
03	17515	12361	22668	21075	15118	15977	4585,5	4585,5	22013	34198	45121	67703	74381	24691	75349	51166
04	9783	4856	14710	10943	7121	8635	1843,5	1843,5	7395	5386	14939	13330	18812	14767	32238	23535
05	990	535	1445	552	-119	-7449	-1105	-1105	-873	-1268	-1106	1253	342	628	924	786
06	7509	3523	11495	5377	4809	-18744	3477,5	3477,5	822	-2751	2377	-1443	334	754	7403	2175
07	27994	19471	36517	13491	9367	-27605	18052	18052	25337	23810	32997	38341	30393	7684	28086	17931
08	29222	8971	49472	30842	4544	-119959	18997	18997	40054	29952	68329	101511	146549	65219	108469	83050
09	2633	1549	3717	2033	606	-10603	-1859,5	-1859,5	863	22	2570	2913	2482	1232	4584	2853
10	3615	2115	5114	4466	1787	-11550	-3890	-3890	3333	-1403	1584	1112	520	628	1190	319
11	12927	8275	17579	13879	9485	-21860	861	861	12318	5303	6241	9447	14931	8650	16443	13245
12	5251	2958	7544	4455	2969	-7943	2492,5	2492,5	6183	6490	10788	16064	17002	9106	16087	16329
13	4741	2910	6572	3782	1874	-11901	401	401	-387	-2454	1948	5757	3332	5244	7146	6804
14	8783	5967	11599	7315	2888	-20820	2887	2887	1501	561	388	1506	4813	3926	4506	3911
15	11165	3854	18475	12109	4879	-25981	-1988,5	-1988,5	2655	-561	-417	3884	8928	530	5363	2434
16	755	611	899	467	324	-5787	-1313	-1313	1877	90	473	88	1368	1564	3428	642
17	9260	6331	12189	8169	5678	-11364	6280	6280	10157	12251	14051	18462	21580	16506	28308	22825
18	13245	9530	16960	16521	8303	-33776	-3438	-3438	11884	-4057	3633	6322	9148	13580	19211	15286
19	2534	1218	3849	2481	2743	1371	1038	1038	2338	3678	6185	6229	7713	8439	9824	9768
20	4056	1514	6597	115	-601	-7905	115,5	115,5	836	2095	699	2908	1439	2097	2195	3187
21	3641	2108	5174	4237	3679	-3939	-388,5	-388,5	3549	1491	2732	3204	7512	4261	7085	8382
22	878	580	1175	534	177	-3360	-980	-980	473	1	525	3008	2323	1615	2963	2159
23	9230	6016	12444	7493	3181	-18216	-1379,5	-1379,5	3870	-3951	70	1606	4178	2893	5826	2467
24	2439	1702	3175	1137	796	-15515	-5413	-5413	146	-4356	-2638	-2862	-657	-3278	3182	2321
25	2100	842	3358	1877	875	-3951	723,5	723,5	1458	2229	3433	6032	6584	7453	14347	8057
26	1334	769	1898	1062	1043	-3265	-648,5	-648,5	1534	-1000	6222	11214	5776	6163	7531	5293
27	938	-211	2086	798	-633	-16102	-1276	-1276	-817	-1315	-1494	-2343	-1270	-2060	-827	-1030
28	68706	41578	95833	65433	31260	-159370	34523,5	34523,5	53989	60083	167025	154719	191790	85887	159314	44040
29	15576	9243	21909	20476	12488	24331	-4355	-4355	17504	20767	23389	27770	44880	23035	55484	37878
30	17693	7785	27600	18665	10326	-12728	8909,5	8909,5	16060	18200	41050	36615	42237	25464	41098	34514
31	4780	2864	6696	3999	3356	-15618	5122,5	5122,5	7190	5748	12506	13365	8582	6524	8738	8402
32	3188	812	5564	2965	1689	-17608	-1371,5	-1371,5	1450	-379	-618	-855	-1555	-1955	-703	-884
33	285	-85	655	135	-149	-5464	-474	-474	-158	-1149	-971	-1220	-1078	-1057	-519	-318
34	21006	13979	28033	22466	11693	-10055	7889	7889	22806	24926	26963	26479	28569	7522	24800	12258
35	11835	4713	18957	11171	6123	-22707	-4403	-4403	2505	3818	3555	3758	7621	3376	7380	4806
36	9239	5359	13119	5347	-392	-29485	-3025,5	-3025,5	2480	-7747	-1238	-1358	1410	-1620	2874	261
37	3702	2493	4911	4391	2764	-14448	-150	-150	1341	2681	6447	4669	7415	5094	7525	5782
38	2636	1788	3483	1872	349	-12273	-1735	-1735	1578	-1395	476	-3089	1151	2713	1430	696
39	12804	8092	17515	24231	11705	-14909	3851,5	3851,5	19868	18661	38127	35910	22544	13150	27940	15295
40	444	148	740	1063	514	-1883	-507,5	-507,5	230	-372	415	2258	1415	1939	2877	1081
41	29233	14541	43924	23441	17837	-14126	4762,5	4762,5	10637	9435	12524	11279	24142	9558	21488	21169
42	97	-110	304	-147	-188	-1548	-627,5	-627,5	-341	-341	403	173	-533	698	1121	730
43	9009	7413	10605	9035	7174	-1555	2784,5	2784,5	8254	10034	13553	19070	22993	19995	30763	25559
44	-37	-80	7	-409	-143	-4844	-685,5	-685,5	9	-376	-240	1109	1344	647	1758	1069
45	7185	4559	9811	6688	4833	446	1892	1892	3795	4506	8166	10407	16561	14961	20196	17362
46	23764	18015	29513	23018	11846	-27479	-22	-22	14837	13567	25970	40333	52794	38622	57709	46964
47	3654	876	6432	3693	-625	-14378	912	912	2565	1096	2271	3196	5145	4561	3811	4575
48	4283	1402	7163	1101	-1046	-23700	-1216	-1216	-176	-4689	-113	828	-16	-567	3320	3682
49	519	108	929	-81	-351	-6798	-1137	-1137	-551	-1181	-1113	-1678	-990	-1164	-479	-553
50	4122	-208	8452	5317	1444	-9913	-490,5	-490,5	3133	3435	9559	13644	8909	17232	14722	5216
51	1581	728	2434	1149	1216	-4346	1660,5	1660,5	1587	1537	453	458	-1221	-277	622	585
52	2462	1504	3420	2046	1157	-5151	266	266	-3179	9334	2526	395	-721	-447	-2528	1383
